'name';'lon';'lat';'url'
'GLS Paket Laden Schreibwaren Ayalti';9.76427;52.26315;'https://www.paket.net/gls/paketshop/ronnenberg/pattensen/schreibwaren-ayalti/'
'GLS Paket Laden Textilpflege Baillot e.K.';9.85211;52.24055;'https://www.paket.net/gls/paketshop/laatzen-bei-hannover/sarstedt/textilpflege-baillot-e-k-/'
'GLS Paket Geschäft LifeStyle Kreativ';9.84861;52.2373;'https://www.paket.net/gls/paketshop/laatzen-bei-hannover/sarstedt/lifestyle-kreativ/'
'GLS Paketshop Nahkauf';9.96528;52.31586;'https://www.paket.net/gls/paketshop/sehnde/sehnde/nahkauf/'
'Paket Shop GLS Laden EWL GmbH & Co. KG';10.1151;52.35609;'https://www.paket.net/gls/paketshop/lehrte-bei-hannover/haemelerwald/ewl-gmbh-und-co-kg/'
'GLS Paket Shop Foto Köster';9.46115;52.50505;'https://www.paket.net/gls/paketshop/wunstorf/mecklenhorst-am-ruebenberge/foto-koester/'
'Paketshop GLS Autoteile Rudi Renk OHG';9.47832;52.50377;'https://www.paket.net/gls/paketshop/wunstorf/mecklenhorst-am-ruebenberge/autoteile-rudi-renk-ohg/'
'GLS Paketshop Star Tankstelle';9.43454;52.42116;'https://www.paket.net/gls/paketshop/wunstorf/wunstorf/star-tankstelle/'
'Paket Shop GLS Algermissener Stricknadel';9.97386;52.25387;'https://www.paket.net/gls/paketshop/sehnde/algermissen/algermissener-stricknadel/'
'GLS Paket Laden Access Tankstelle Hohenhameln';10.0749;52.26264;'https://www.paket.net/gls/paketshop/sehnde/hohenhameln/access-tankstelle-hohenhameln/'
'GLS Paketshop Springer Box GmbH';9.55399;52.21183;'https://www.paket.net/gls/paketshop/springe-deister/springe/springer-box-gmbh/'
'GLS Paket Shop Florales';9.62504;52.21703;'https://www.paket.net/gls/paketshop/springe-deister/voelksen/florales/'
'Paketshop GLS Deister Markt';9.46376;52.19695;'https://www.paket.net/gls/paketshop/springe-deister/bad-muender/deister-markt/'
'Paket Shop GLS Classic Tankstelle';9.47663;52.16328;'https://www.paket.net/gls/paketshop/springe-deister/hachmuehlen/classic-tankstelle/'
'GLS Paketshop Zauberei hoch 3';9.69084;52.61056;'https://www.paket.net/gls/paketshop/wedemark/lindwedel/zauberei-hoch-3/'
