'name';'lon';'lat';'url'
'Hermes Paket Filiale ARAL Tankstelle';9.8150473;52.3238887;'https://www.paket.net/hermes/paketshop/laatzen-bei-hannover/bemerode/aral-tankstelle/'
'Paketshop von Hermes Shell Tankstelle';9.7971751;52.3181664;'https://www.paket.net/hermes/paketshop/ronnenberg/wuelfel/shell-tankstelle/'
'Paket Shop Hermes Safak Lebensmittel';9.851019;52.36048;'https://www.paket.net/hermes/paketshop/sehnde/anderten-kreis-hannover/safak-lebensmittel/'
'Paketshop von Hermes STAR Kiosk';9.83414;52.33768;'https://www.paket.net/hermes/paketshop/sehnde/bemerode/star-kiosk/'
'Hermes Paket Laden Mert Abi Kiosk';9.82992;52.33333;'https://www.paket.net/hermes/paketshop/sehnde/bemerode/mert-abi-kiosk/'
'Paket Shop Hermes Filiale Dianas Kiosk';9.6513981;52.3176464;'https://www.paket.net/hermes/paketshop/seelze/ronnenberg/dianas-kiosk/'
'Paket Shop Hermes Filiale Shell Tankstelle';9.6149017;52.4305907;'https://www.paket.net/hermes/paketshop/seelze/havelse/shell-tankstelle/'
'Paketshop Hermes Aland Textilrein.';9.8576574;52.3633382;'https://www.paket.net/hermes/paketshop/sehnde/anderten-kreis-hannover/aland-textilrein/'
'Hermes Paketshop Der Gruene Kiosk';9.5928005;52.3958873;'https://www.paket.net/hermes/paketshop/seelze/seelze/der-gruene-kiosk/'
'Paket Shop von Hermes Anderter PresseShop';9.8619659;52.371542;'https://www.paket.net/hermes/paketshop/sehnde/anderten-kreis-hannover/anderter-presseshop/'
'Hermes Paket Geschäft ARAL Tankstelle';9.7983153;52.3118621;'https://www.paket.net/hermes/paketshop/ronnenberg/grasdorf-leine/aral-tankstelle/'
'Paket Shop Hermes EDEKA Berenbostel';9.61951;52.4391664;'https://www.paket.net/hermes/paketshop/seelze/berenbostel/edeka-berenbostel/'
'Paketshop von Hermes Mein Cafe';9.5967244;52.4168774;'https://www.paket.net/hermes/paketshop/seelze/havelse/mein-cafe/'
'Hermes Paketshop ARAL Tankstelle';9.8614976;52.3581032;'https://www.paket.net/hermes/paketshop/sehnde/anderten-kreis-hannover/aral-tankstelle/'
'Paket Shop Hermes Geschäft Kiosk a.SchwarzenSee';9.603644;52.427043;'https://www.paket.net/hermes/paketshop/seelze/havelse/kiosk-a-schwarzensee/'
'Hermes Paket Laden ARAL Tankstelle';9.5953944;52.421312;'https://www.paket.net/hermes/paketshop/seelze/havelse/aral-tankstelle/'
