Section,KPI,Rural,Suburban,Urban,Rural without Industrial Influence,Rural with Industrial Influence,Urbanized Periphery,Industrial Use,Residential Use,Dense Mixed Use,High-Density Residential Use,Metropolitan Center
Temporal Metrics,Avg. Tour Duration [hrs],7.649258297258297,7.694381551362683,7.666665806673546,7.475661764705883,7.744074074074074,7.6658983071053886,7.797908496732026,7.700562515818779,7.592530030030029,7.7200099920063945,7.765478395061728
Temporal Metrics,Avg. Driving Time [hrs],3.911616883116883,3.246753006730663,2.425063639490884,3.580404411764706,4.092520080321285,3.459441463996185,2.8150871459694993,3.1212794229309035,2.7654804804804805,2.158527178257394,2.0546990740740743
Delivery Metrics,Avg. Deliveries per Tour [#],108.30649350649351,131.07149950347568,154.89473684210526,112.80147058823529,105.85140562248996,123.13733905579399,146.04901960784315,136.01366742596812,141.68243243243242,164.7841726618705,171.02777777777777
Delivery Metrics,Avg. Deliveries per Stop [#],1.957951620790354,2.9788742807386654,4.488082331083113,2.0790569787928037,1.8918057224436344,2.6877885210550057,3.8019121812653998,3.096633046476384,3.517147335081702,4.531907654092271,8.310489539692448
Delivery Metrics,Avg. B2B Ratio per Tour [%],11.419777215993976,22.978457474985856,27.85433374510877,6.095015398815046,14.328080859111786,23.23761428647228,28.634255178835506,21.38925829515593,25.467300187931347,25.82741742056951,45.493843066587026
Load Metrics,Avg. Total Weight per Tour [kg],481.4973246753247,668.2879642502483,820.1762229102167,473.08029411764704,486.094578313253,626.0378755364808,787.8138235294117,685.3651936218679,720.1106081081081,852.4607194244604,1106.9030555555555
Load Metrics,Avg. Weight per Parcel [kg],4.499818181818182,5.113932472691161,5.326811145510836,4.2069117647058825,4.659799196787149,5.097489270386266,5.423431372549019,5.059476082004556,5.162364864864864,5.214460431654676,6.4366666666666665
Load Metrics,Avg. Vehicle Utilization per Tour [%],61.04559998631145,69.77852005657368,77.40639671720572,63.267747810586684,59.83189675698842,67.2861569605365,75.10953525020022,71.1855306556703,73.80808674286936,80.68605984777396,79.53630507978335
Cost Metrics,"Total Vehicle Cost (all tours, per day) [€]",91136.89304607967,229727.71022388746,70749.53441629453,31341.187886977,59795.70515910266,107396.43113219402,22930.84852971883,99400.43056197463,32862.73921431708,30079.067305348104,7807.727896629338
Cost Metrics,Avg. Total Vehicle Cost [€],236.71920271709004,228.13079466125865,219.03880624239792,230.44991093365442,240.1433942132637,230.46444448968674,224.8122404874395,226.4246709839969,222.04553523187215,216.39616766437484,216.88133046192604
Cost Metrics,Avg. Fixed Vehicle Cost [€],175.61493506493505,178.00698113207548,180.9221052631579,175.61161764705884,175.6167469879518,176.84935622317596,179.61352941176472,178.86252847380408,178.93925675675678,182.02705035971223,184.8075
Cost Metrics,Avg. Distance-based Cost [€],44.53475464349696,33.842331724041394,21.65681110135903,39.70592990832761,47.17218502093885,37.45809308291514,28.544530438419887,31.235112903764012,24.673994222112412,19.683048999306887,16.87375083229642
Cost Metrics,Avg. Overtime Cost [€],16.56951300865801,16.281481805141787,16.45988987788098,15.132363378267977,17.35446220437305,16.156995183595615,16.654180637254903,16.327029606428752,18.432284253003004,14.686068305355716,15.200079629629633
Cost Metrics,Avg. Cost per Parcel [€/Parcel],2.8784819861086084,2.1411784278385704,1.7363109299978294,2.7761494035221137,2.934374481015288,2.2931623136408033,1.9125392310975293,2.0329704717650974,2.007099827440304,1.5353647999155835,1.398943020551882
Cost Metrics,Avg. Cost per Kilogram [€/kg],0.6860976559054186,0.45834280042085707,0.3982993950142423,0.7199110467630787,0.6676292978466163,0.4900594520489073,0.4020588696486542,0.43775282611583033,0.4174054051327759,0.41906581688551836,0.23957100230173267
Emission Metrics,"Total CO$_{\mathregular{2}}$ Emissions (all tours, per day) [kg]",9168.282807804364,17955.224063131394,3262.112624609041,2878.7807258056523,6289.502081998711,9311.443388829188,1472.907362300381,7170.873312001826,1748.2663757072155,1215.6566594125143,298.18958948931174
Emission Metrics,Avg. CO$_{\mathregular{2}}$ Emissions per Tour [kg],23.813721578712638,17.830411184837534,10.099419890430466,21.167505336806265,25.259044506018924,19.98163817345319,14.440268257846874,16.334563353079332,11.812610646670375,8.745731362679958,8.283044152480882
Emission Metrics,Avg. CO$_{\mathregular{2}}$ per Parcel [g/Parcel],219.87344255850076,136.0357610341119,65.2018273592181,187.6527427029302,238.62738862536372,162.27115452283275,98.87275037258381,120.09501443647339,83.3738554870149,53.07385546441887,48.43098741096504
Emission Metrics,Avg. CO$_{\mathregular{2}}$ per km [g/km],200.36156314188514,198.1062148906807,176.1900023982612,199.61937215658142,200.7031171833767,200.29235493571403,190.70416065027428,196.8854507954462,180.30711629080943,168.2124013039726,187.3308005877905
Emission Metrics,Avg. CO$_{\mathregular{2}}$ per kg Payload [g/kg],49.45764048589535,26.680730671008654,12.313719427996677,44.74400138836108,51.96323027026498,31.917618652593514,18.329544146806622,23.83337161719288,16.4038836724052,10.259395140910007,7.483080032084304
