vehicle_id,Start time,End time,Tour Duration,Service Duration,Travel Duration,Start time formatted,End time formatted,Tour Duration formatted,Service Duration formatted,Travel Duration formatted,veh_class,service_num,tour_km,first_service_dist,raumsplit,provider,veh_size,main_area_type,deliveries,missed deliveries,b2b_ration,b2c_ration,ration_check,vehicle_load_factor,vehicle_deliver_factor,vehicle_fix_cost,vehicle_km_cost,vehicle_time_cost,overtime_cost,vehicle_cost,deliveries_per_stop,Hannover
freight_dpd_30823_veh_cep_size_m_7_3,26078,60376,34298,11907,22391,1970-01-01 07:14:38,1970-01-01 16:46:16,1970-01-01 09:31:38,1970-01-01 03:18:27,1970-01-01 06:13:11,van,65,175.92699402710122,28.82961749604235,"defaultdict(<class 'int'>, {8: 27, 5: 2, 4: 11, 6: 25})",dpd,m,8,96.0,0.0,0.125,0.875,1.0,0.5818181818181818,1.0,171.78,65.44484177808165,217.88757222222225,46.36257222222223,283.5874140003039,1.476923076923077,False
freight_dpd_30823_veh_cep_size_m_7_2,26078,60061,33983,12943,21040,1970-01-01 07:14:38,1970-01-01 16:41:01,1970-01-01 09:26:23,1970-01-01 03:35:43,1970-01-01 05:50:40,van,75,160.96366029015107,29.110470381325623,"defaultdict(<class 'int'>, {8: 16, 4: 33, 6: 26})",dpd,m,4,105.0,0.0,0.17142857142857143,0.8285714285714286,1.0,0.6363636363636364,1.0,171.78,59.878481627936196,215.88644722222224,44.361447222222225,276.0199288501584,1.4,False
freight_dpd_30823_veh_cep_size_m_7_1,26078,60587,34509,15173,19336,1970-01-01 07:14:38,1970-01-01 16:49:47,1970-01-01 09:35:09,1970-01-01 04:12:53,1970-01-01 05:22:16,van,90,153.45364599709362,30.6335587667544,"defaultdict(<class 'int'>, {4: 88, 6: 1, 8: 1})",dpd,m,4,123.0,0.0,0.1951219512195122,0.8048780487804879,1.0,0.7454545454545455,1.0,171.78,57.08475631091883,219.22800833333335,47.70300833333334,276.5677646442522,1.3666666666666667,False
freight_dpd_31535_veh_cep_size_m_7_2,26113,58764,32651,8314,24337,1970-01-01 07:15:13,1970-01-01 16:19:24,1970-01-01 09:04:11,1970-01-01 02:18:34,1970-01-01 06:45:37,van,59,237.50660180260505,47.471207872453135,"defaultdict(<class 'int'>, {8: 22, 7: 37})",dpd,m,7,67.0,0.0,0.07462686567164178,0.9253731343283582,1.0,0.40606060606060607,1.0,171.78,88.35245587056907,207.42454722222223,35.899547222222225,296.0320030927913,1.1355932203389831,False
freight_gls_31535_veh_cep_size_m_7_7,26131,58009,31878,10197,21681,1970-01-01 07:15:31,1970-01-01 16:06:49,1970-01-01 08:51:18,1970-01-01 02:49:57,1970-01-01 06:01:21,van,71,170.9242115032277,38.47936886048584,"defaultdict(<class 'int'>, {6: 56, 7: 15})",gls,m,6,83.0,0.0,0.04819277108433735,0.9518072289156626,1.0,0.503030303030303,1.0,171.78,63.583806679200706,202.51385000000002,30.988850000000003,266.3526566792007,1.1690140845070423,False
freight_gls_31535_veh_cep_size_m_7_6,26131,60236,34105,9814,24291,1970-01-01 07:15:31,1970-01-01 16:43:56,1970-01-01 09:28:25,1970-01-01 02:43:34,1970-01-01 06:44:51,van,64,156.79267765626625,38.753989219846716,"defaultdict(<class 'int'>, {6: 62, 7: 2})",gls,m,6,79.0,0.0,0.0759493670886076,0.9240506329113924,1.0,0.47878787878787876,1.0,171.78,58.326876088131044,216.66148611111115,45.13648611111112,275.2433621992422,1.234375,False
freight_gls_31535_veh_cep_size_m_7_4,26131,63820,37689,11336,26353,1970-01-01 07:15:31,1970-01-01 17:43:40,1970-01-01 10:28:09,1970-01-01 03:08:56,1970-01-01 07:19:13,van,77,206.9556688284642,43.614989426220504,"defaultdict(<class 'int'>, {8: 3, 7: 54, 6: 20})",gls,m,7,92.0,0.0,0.021739130434782608,0.9782608695652174,1.0,0.5575757575757576,1.0,171.78,76.98750880418869,239.42984166666668,67.90484166666667,316.67235047085535,1.1948051948051948,False
freight_gls_31535_veh_cep_size_m_7_2,26131,60157,34026,7276,26750,1970-01-01 07:15:31,1970-01-01 16:42:37,1970-01-01 09:27:06,1970-01-01 02:01:16,1970-01-01 07:25:50,van,52,229.59532593286892,49.070050078922655,"defaultdict(<class 'int'>, {7: 9, 8: 41, 5: 1, 6: 1})",gls,m,8,59.0,0.0,0.01694915254237288,0.9830508474576272,1.0,0.3575757575757576,1.0,171.78,85.40946124702724,216.1596166666667,44.63461666666667,301.8240779136939,1.1346153846153846,False
freight_ups_31535_veh_cep_size_m_7_1,26186,57567,31381,8629,22752,1970-01-01 07:16:26,1970-01-01 15:59:27,1970-01-01 08:43:01,1970-01-01 02:23:49,1970-01-01 06:19:12,van,55,221.48162943800935,31.4033282154768,"defaultdict(<class 'int'>, {8: 20, 7: 34, 6: 1})",ups,m,7,70.0,0.0,0.9285714285714286,0.07142857142857142,1.0,0.42424242424242425,1.0,171.78,82.39116615093948,199.35651944444447,27.831519444444446,282.0026855953839,1.2727272727272727,False
freight_gls_30890_veh_cep_size_m_7_2,26186,56284,30098,11510,18588,1970-01-01 07:16:26,1970-01-01 15:38:04,1970-01-01 08:21:38,1970-01-01 03:11:50,1970-01-01 05:09:48,van,64,140.3348697260325,30.507282888810636,"defaultdict(<class 'int'>, {4: 62, 6: 1, 8: 1})",gls,m,4,92.0,0.0,0.0,1.0,1.0,0.5575757575757576,1.0,171.78,52.204571538084096,191.20590555555557,19.680905555555558,243.66547709363965,1.4375,False
