year,linear,ci_lower_linear,ci_upper_linear,logistic,ci_lower_logistic,ci_upper_logistic,exponential,ci_lower_exponential,ci_upper_exponential,type,weeks_in_year
2033,5.284880295566495,4.715336102463497,5.854424488669493,5.164553609141466,4.714557183074604,5.614550035208328,6.0454496453510504,5.744451886168607,6.346447404533494,Forecast,52
2034,5.403300492610811,4.816761198768281,5.989839786453341,5.237820801489053,4.735740461270586,5.73990114170752,6.285734875501693,5.955169216411905,6.616300534591481,Forecast,52
2035,5.5217206896551545,4.91675160022034,6.126689779089969,5.306567622809457,4.751901729124651,5.861233516494263,6.53557059324476,6.17331771919023,6.89782346729929,Forecast,52
2036,5.640140886699498,5.015434270960373,6.264847502438624,5.370942235272895,4.763610094394833,5.9782743761509565,6.795336396665391,6.3991826189029695,7.191490174427813,Forecast,52
2037,5.758561083743814,5.112929135222661,6.404193032264967,5.431108291727176,4.771401514637874,6.090815068816478,7.065426971529317,6.633055806652547,7.497798136406087,Forecast,53
2038,5.876981280788158,5.209347870314598,6.544614691261717,5.487241165009555,4.775772061200169,6.1987102688189415,7.346252690964763,6.875236708708644,7.817268673220883,Forecast,52
2039,5.995401477832502,5.30479331886228,6.686009636802724,5.539524521390331,4.777181522152674,6.301867520627988,7.638240238979605,7.1260329903524475,8.150447487606762,Forecast,52
2040,6.113821674876846,5.399359367740725,6.828283982012967,5.588147259734966,4.776052730420568,6.400241789049364,7.941833258761103,7.385761312658644,8.497905204863562,Forecast,52
2041,6.232241871921161,5.493131157598438,6.971352586243884,5.6333008230019805,4.772771813607024,6.493829832396937,8.25749302674328,7.654747925784106,8.860238127702454,Forecast,52
2042,6.350662068965505,5.586185510553562,7.115138627377449,5.675176876635367,4.767687784405075,6.58266596886566,8.585699153466068,7.933329207454768,9.238069099477368,Forecast,52
2043,6.469082266009849,5.678591488503597,7.259573043516101,5.713965339130555,4.76111655525285,6.666814123008259,8.926950312291158,8.221852400331459,9.632048224250857,Forecast,53
2044,6.5875024630541645,5.770411017186655,7.404593908921674,5.749852743303912,4.75333817717001,6.746367309437815,9.281764997081684,8.520675889600692,10.042854104562675,Forecast,52
2045,6.7059226600985085,5.861699530159734,7.550145790037283,5.783020902261317,4.744602578892951,6.821439225629683,9.650682309997032,8.830169937493453,10.471194682500611,Forecast,52
2046,6.824342857142852,5.952506601895497,7.696179112390208,5.8136458513949885,4.735130361851587,6.89216134093839,10.03426278059968,9.15071706610823,10.917808495091128,Forecast,52
2047,6.942763054187168,6.042876550548964,7.842649557825371,5.841897036592477,4.725113208856378,6.958680864328576,10.433089217518651,9.482712741694767,11.383465693342535,Forecast,52
2048,7.061183251231512,6.132848999184872,7.989517503278152,5.867936718889154,4.714718538806396,7.021154898971911,10.847767593963564,9.826565639994604,11.868969547932524,Forecast,53
2049,7.179603448275856,6.222459390026447,8.136747506525264,5.891919566739676,4.704089369916019,7.079749763563333,11.278927968434743,10.182698398245972,12.375157538623515,Forecast,52
2050,7.298023645320171,6.311739450177795,8.284307840462548,5.913992408667579,4.693349381832524,7.134635435502634,11.727225442028287,10.551548013100945,12.902902870955629,Forecast,52
